qubit,T1_us,T2_us,frequency_GHz,readout_error,sx_gate_error,sx_gate_length_ns,mean_ecr_error,mean_ecr_length_ns
107,210.71911926522037,97.91520752855389,4.985844839874539,0.02587890625,0.0006976879165323443,56.888888888888886,0.009079181335175351,533.3333333333333
108,163.10636822987973,243.03218856317451,4.857634184431182,0.010009765625,0.0002007832185784849,56.888888888888886,0.007272532753231781,533.3333333333333
109,305.2954449938729,361.4088298447686,4.794028667669824,0.02978515625,0.0006973167447307087,56.888888888888886,0.008224039759436225,533.3333333333333
110,364.36391334011404,389.67047459015185,4.834506184723792,0.00732421875,0.0001980452977154803,56.888888888888886,0.006186251857038527,533.3333333333333
111,167.71136230027628,93.95611465499476,4.8996725436720885,0.045654296875,0.00033336773972468005,56.888888888888886,0.01162391989149944,533.3333333333333
112,358.0040221565464,97.6778749590005,4.931293884555204,0.022216796875,0.00016480722809048755,56.888888888888886,0.004892649032020413,533.3333333333333
113,315.5395274002463,69.35594380720394,4.963644114986948,0.00390625,0.00016034726559378373,56.888888888888886,0.00614535042181974,533.3333333333333
114,175.83368566998246,252.98352386754567,4.884525117348158,0.015380859375,0.00018993013113279193,56.888888888888886,0.007578424914757631,533.3333333333333
115,276.9149018279107,225.6782879639392,4.742760628234413,0.012451171875,0.013329569006882301,56.888888888888886,0.008419502785063177,533.3333333333333
116,224.63227994943662,300.48252997862073,4.931273754194931,0.010986328125,0.00018678336874514468,56.888888888888886,0.01058385568652831,533.3333333333333
117,228.4422522365641,167.3092962661168,4.793039613058846,0.03076171875,0.00038178124359399614,56.888888888888886,0.01037771571143345,533.3333333333333
118,264.31340590532653,334.0872633562487,4.73749404593461,0.012451171875,0.00026266286302247546,56.888888888888886,0.006895616808860805,533.3333333333333
119,209.9206484160304,171.48601771900323,4.792614197744603,0.011474609375,0.0003741631117358818,56.888888888888886,0.007050052124240425,533.3333333333333
120,280.49274353194096,269.8591503659144,4.887791878353157,0.0126953125,0.00012097271880403888,56.888888888888886,0.006622002384708808,533.3333333333333
121,246.6418850890541,15.659078594829989,4.847674123458457,0.021484375,0.00021679631697838473,56.888888888888886,0.005944728017343831,533.3333333333333
122,353.03440555327523,305.12933225133224,4.731541663783101,0.007568359375,0.0003550953648918913,56.888888888888886,0.009300767185306572,533.3333333333333
123,251.82359828750654,301.02958566410837,4.8206301397006985,0.0078125,0.0001640187525252903,56.888888888888886,0.005086483709564077,533.3333333333333
124,278.41972084544125,332.1060328337933,4.881324507627415,0.004150390625,0.00015961592501764914,56.888888888888886,0.005788501393257067,533.3333333333333
125,239.28033542071583,63.37555301919867,4.977380831278876,0.0078125,0.00018507327806937748,56.888888888888886,0.005466735681693757,533.3333333333333
126,261.8181514271377,108.79803081319514,4.8312542779491405,0.019775390625,0.0001562221983174209,56.888888888888886,0.004613200798528921,533.3333333333333
